和名,学名 (大菌輪),別名 (目録2016),学名 (目録2016),科 (目録2016),属 (目録2016),Family (目録2016),Genus (目録2016),学名 (Mycobank),最新異名 (Mycobank)
アオノキノコヤドリタケ,Hypomyces luteovirens,,Hypomyces luteovirens (Fr.) Tul. & C. Tul.,ニクザキン科,ヒポミケス属,Hypocreaceae,Hypomyces,"Hypomyces luteovirens (Fr.) Tul. & C. Tul, Bulletin de la Société Mycologique de France Bull. Soc. Mycol. Fr. 127 (3-4): 296 (2011) [MB#519182]","Byssonectria luteovirens (Fr.) Z. Moravec, Ceská Mykologie 10 (2): 87 (1956) [MB#293879]<br />Peckiella luteovirens (Fr.) Maire, Annales Mycologici 9: 318 (1911) [MB#269991]

<br />Hypocrea luteovirens (Fr.) Berk., Outlines of British Fungology: 383 (1860) [MB#249826]

<br />Hypomyces luteo-virens (Fr.) Tul. & C. Tul. (1860) [MB#581000]

<br />Sphaeria luteovirens Fr., Kongliga Svenska Vetenskapsakademiens Handlinger 38: 251 (1817) [MB#209351]

"

アオバゴケ,Strigula smaragdula,,,,,,,"Strigula smaragdula Fr., Linnaea 5: 550 (1830) [MB#431363]",

アオミドリタマゴテングタケ,Amanita griseoturcosa,,"Amanita griseoturcosa T. Oda, C. Tanaka & Tsuda",テングタケ科,テングタケ属,Amanitaceae,Amanita,"Amanita griseoturcosa T. Oda, C. Tanaka & Tsuda, Mycoscience 43 (4): 354 (2002) [MB#374038]",

アオミノアシナガタケ,Mycena amicta,,Mycena amicta (Fr.) Quél.,クヌギタケ科,クヌギタケ属,Mycenaceae,Mycena,"Mycena amicta (Fr.) Quél., Mémoires de la Société d'Émulation de Montbéliard ser. 2, 5: 243 (1872) [MB#220029]","Agaricus iris Berk., The English Flora, Fungi 5 (2): 56 (1836) [MB#457160]<br />Agaricus amictus Fr., Systema Mycologicum 1: 141 (1821) [MB#457161]

"

アオモジホコリ,Physarum viride,,,,,,,Physarum viride Fr. (?) [MB#240581],"Tilmadoche viridis (J.F. Gmel.) Sacc., Michelia 2 (7): 263 (1881) [MB#190639]<br />Physarum var. viride (Bull.) Fr.: 129 (1829) [MB#138688]

<br />Trichia viridis (Bull.) Raeusch., Nomencl. Bot.: 349 (1797) [MB#207884]

<br />Stemonitis viridis (Bull.) J.F. Gmel., Systema Naturae 2 (2): 1469 (1792) [MB#219159]

<br />Sphaerocarpus viridis Bull., Herbier de la France 9: t. 407:1 (1789) [MB#220983]

"

アオロウジ,Neoalbatrellus caeruleoporus,アオカワ,Albatrellus caeruleoporus (Peck) Pouzar,ニンギョウタケモドキ科,ニンギョウタケモドキ属,Albatrellaceae,Albatrellus,"Neoalbatrellus caeruleoporus (Peck) Audet, Mycotaxon 111: 443 (2010) [MB#511207]","Albatrellus caeruleoporus (Peck) Pouzar, Folia Geobotanica et Phytotaxonomica 1 (4): 358 (1966) [MB#325954]<br />Scutiger caeruleoporus (Peck) Murrill, Bulletin of the Torrey Botanical Club 30 (8): 429 (1903) [MB#471582]

<br />Polyporus caeruleoporus Peck, Annual Report on the New York State Museum of Natural History 26: 68 (1874) [MB#530273]

<br />Polyporus caeruliporus Peck (1874) [MB#184701]

"

アカアザタケ,Rhodocollybia maculata,,Rhodocollybia maculata (Alb. & Schwein.) Sing.,ツキヨタケ科,アカアザタケ属,Omphalotaceae,Rhodocollybia,"Rhodocollybia maculata (Alb. & Schwein.) Singer, Schweizerische Zeitschrift für Pilzkunde 17: 71 (1939) [MB#253156]","Collybia maculata (Alb. & Schwein.) P. Kumm., Der Führer in die Pilzkunde: 117 (1871) [MB#169412]<br />Agaricus maculatus Alb. & Schwein., Conspectus Fungorum in Lusatiae superioris: 186 (1805) [MB#190275]

"

アカアザホウキタケ,Ramaria xanthosperma,キホウシホウキタケ,Ramaria xanthosperma (Peck) Corner,ラッパタケ科,ホウキタケ属,Gomphaceae,Ramaria,"Ramaria xanthosperma (Peck) Corner, Annals of Botany Memoirs 1: 632 (1950) [MB#305014]","Clavaria xanthosperma Peck, Bulletin of the New York State Museum 94: 21 (1904) [MB#154055]"

アカアシナガタケ,Phaeocollybia lugubris,,Phaeocollybia lugubris (Fr.) R. Heim,フウセンタケ科,カワムラジンガサタケ属,Cortinariaceae,Phaeocollybia,"Phaeocollybia lugubris (Fr.) R. Heim, Encyclopédie Mycologique 1: 71 (1931) [MB#253098]","Hylophila lugubris (Fr.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 100 (1886) [MB#802723]<br />Naucoria lugubris (Fr.) Quél., Comptes Rendus de l´Association Française pour l´Avancement des Sciences 9: 663 (1881) [MB#237668]

<br />Agaricus lugubris Fr., Systema Mycologicum 1: 254 (1821) [MB#457316]

"

アカアシフウセンタケ,Cortinarius bulliardii,,Cortinarius bulliardii (Pers. ) Fr.,フウセンタケ科,フウセンタケ属,Cortinariaceae,Cortinarius,"Cortinarius bulliardii (Pers.) Fr., Epicrisis Systematis Mycologici: 282 (1838) [MB#205350]","Inoloma bulliardii (Pers.) Wünsche, Die Pilze. Eine Anleitung zur Kenntniss derselben: 127 (1877) [MB#517948]<br />Agaricus bulliardii Pers., Observationes mycologicae 2: 43 (1800) [MB#210740]

"

