和名,学名 (大菌輪),別名 (目録2016),学名 (目録2016),科 (目録2016),属 (目録2016),Family (目録2016),Genus (目録2016),学名 (Mycobank),最新異名 (Mycobank)
オオウスムラサキフウセンタケ,Cortinarius traganus,フジイロフウセンタケ,Cortinarius traganus (Fr. ) Fr.,フウセンタケ科,フウセンタケ属,Cortinariaceae,Cortinarius,"Cortinarius traganus (Fr.) Fr., Epicrisis Systematis Mycologici: 281 (1838) [MB#164677]","Inoloma traganum (Fr.) Wünsche, Die Pilze. Eine Anleitung zur Kenntniss derselben: 127 (1877) [MB#454266]<br />Agaricus traganus Fr., Observationes mycologicae 2: 82 (1818) [MB#235938]

<br />Agaricus subviolascens Batsch, Elenchus fungorum: 47 (1783) [MB#495439]

<br />Agaricus amethystinus Schaeff., Fungorum qui in Bavaria et Palatinatu circa Ratisbonam nascuntur Icones 4: 24, t. 56 (1774) [MB#450861]

"

オオウラヒダイワタケ,Umbilicaria muehlenbergii,,,,,,,Umbilicaria muehlenbergii (Ach.) Tuck. (1845) [MB#408134],"Actinogyra muehlenbergii (Ach.) Schol. (1936) [MB#410196]

<br />Actinogyra muhlenbergii (Ach.) Schol. (1936) [MB#533824]<br />Umbilicaria muhlenbergii (Ach.) Tuck., An Enumeration of North American Lichens with a preliminary view of the structure and general history of these plants, and of the Friesian system: 55 (1845) [MB#533837]

<br />Lecidea muehlenbergii (Ach.) Spreng. (1827) [MB#391543]

<br />Lecidea muhlenbergii (Ach.) Spreng. (1827) [MB#533834]

<br />Gyrophora muehlenbergii Ach. (1810) [MB#386573]

<br />Gyrophora muhlenbergii Ach. (1810) [MB#533831]

"

オオウラベニイロガワリ,Sutorius luridiformis,,"Boletus luridiformis Rostk. → Neoboletus luridiformis (Rostk.) Gelardi, Simonini & Vizzini",イグチ科,ヤマドリタケ属,Boletaceae,Boletus,"Sutorius luridiformis (Rostk.) G. Wu & Zhu L. Yang, Fungal Diversity 81: 145 (2016) [MB#818485]","Neoboletus luridiformis (Rostk.) Gelardi, Simonini & Vizzini, Index Fungorum 192: 1 (2014) [MB#550771]<br />Suillus luridiformis (Rostk.) Kuntze, Revisio generum plantarum 3 (2): 536 (1898) [MB#586236]

<br />Boletus luridiformis Rostk., Deutschlands Flora, Abt. III. Die Pilze Deutschlands 5-23/24: 105, t. 35 (1844) [MB#246588]

"

オオウロコタケ,Xylobolus princeps,,Xylobolus princeps (Jungh.) Boidin,ウロコタケ科,カタウロコタケ属,Stereaceae,Xylobolus,"Xylobolus princeps (Jungh.) Boidin, Revue de Mycologie (Paris) 23 (3): 341 (1958) [MB#307890]","Stereum princeps (Jungh.) Lév., Annales des Sciences Naturelles Botanique 2: 210 (1844) [MB#190880]<br />Thelephora princeps Jungh., Praemissa in floram cryptogamicam Javae insulae: 38 (1838) [MB#440715]

"

オオオシロイタケ,Postia tephroleuca,,Postia tephroleuca (Fr.) Jülich ,ツガサルノコシカケ科,オオオシロイタケ属,Fomitopsidaceae,Postia,"Postia tephroleuca (Fr.) Jülich, Persoonia 11 (4): 424 (1982) [MB#110929]","Oligoporus tephroleucus (Fr.) Gilb. & Ryvarden, Mycotaxon 22 (2): 365 (1985) [MB#105589]

<br />Spongiporus tephroleucus (Fr.) A. David, Bulletin Mensuel de la Société Linnéenne de Lyon 49 (1): 37 (1980) [MB#114047]

<br />Tyromyces tephroleucus (Fr.) Donk, Mededelingen van het botanisch Museum en Herbarium van de Rijksuniversiteit Utrecht 9: 150 (1933) [MB#280015]

<br />Polyporus linearisporus Velen., Ceske Houby 4-5: 654 (1922) [MB#269538]<br />Polyporus tokyoensis Lloyd, Synopsis of the section Apus of the genus Polyporus (7): 302 (1915) [MB#200645]

<br />Polyporus tokyvensis Lloyd (1915) [MB#277731]

<br />Polystictus tephroleucus (Fr.) Bigeard & H. Guill., La Flore des Champignons supérieurs de France ed. 2: 374 (1913) [MB#473769]

<br />Bjerkandera cinerata P. Karst., Meddelanden af Societas pro Fauna et Flora Fennica 16: 103 (1890) [MB#236358]

<br />Bjerkandera simulans P. Karst., Revue Mycologique Toulouse 10: 73 (1888) [MB#245623]

<br />Bjerkandera melina P. Karst., Meddelanden af Societas pro Fauna et Flora Fennica 14: 80 (1887) [MB#140791]

<br />Leptoporus tephroleucus (Fr.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 176 (1886) [MB#491945]

<br />Bjerkandera tephroleuca (Fr.) P. Karst., Bidr. Känn. Finl. Nat. Folk: 297 (1882) [MB#244957]

<br />Polyporus elatinus Berk., Hooker's Journal of Botany and Kew Garden Miscellany 6: 140 (1854) [MB#225947]

<br />Boletus tephroleucus (Fr.) Spreng., Caroli Linnaei systema vegetabilium 4 (1) (1827) [MB#449607]

<br />Polyporus tephroleucus Fr., Systema Mycologicum 1: 360 (1821) [MB#201871]

<br />Polyporus lacteus Fr., Systema Mycologicum 1: 359 (1821) [MB#156637]

"

オオオニノヒゲ,Bryoria confusa,,,,,,,"Bryoria confusa (D.D. Awasthi) Brodo & D. Hawksw., Opera Botanica 42: 155 (1977) [MB#341497]","Alectoria confusa D.D. Awasthi, Proceedings of the Indian Academy of Sciences Section B 72 (4): 152 (1970) [MB#341268]"

オオカキシメジ,Tricholoma pessundatum,,Tricholoma pessundatum (Fr.) Quél.,キシメジ科,キシメジ属,Tricholomataceae,Tricholoma,"Tricholoma pessundatum (Fr.) Quél., Mémoires de la Société d'Émulation de Montbéliard ser. 2, 5: 77, t. 95 (1872) [MB#235778]","Gyrophila pessundata (Fr.) Quél., Flore mycologique de la France et des pays limitrophes: 289 (1888) [MB#494209]<br />Gyrophila equestris var. pessundata (Fr.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 11 (1886) [MB#507607]

<br />Agaricus pessundatus Fr., Systema Mycologicum 1: 38 (1821) [MB#461536]

"

オオカシワギタケ,Cortinarius saginus,,,,,,,"Cortinarius saginus (Fr.) Fr., Epicrisis Systematis Mycologici: 260 (1838) [MB#177702]","Agaricus saginus Fr., Systema Mycologicum 1: 226 (1821) [MB#477014]"

オオカタウロコタケ,Xylobolus annosus,,Xylobolus annosus (Berk. & Broome) Boidin,ウロコタケ科,カタウロコタケ属,Stereaceae,Xylobolus,"Xylobolus annosus (Berk. & Broome) Boidin, Revue de Mycologie (Paris) 23 (3): 341 (1958) [MB#307887]","Stereofomes annosus (Berk. & Broome) Rick, Egatea: 396 (1930) [MB#256909]

<br />Stereum durum Burt, Annals of the Missouri Botanical Garden 7: 226 (1920) [MB#263632]<br />Stereum contrarium Berk., Journal of the Linnean Society. Botany 16: 52 (1877) [MB#161960]

<br />Stereum annosum Berk. & Broome, Journal of the Linnean Society. Botany 14: 67 (1875) [MB#213004]

"

オオカノコゴケ,Lepra multipuncta,,,,,,,"Lepra multipuncta (Turner) Hafellner, Stapfia 104 (1): 173 (2016) [MB#818769]","Pertusaria multipuncta (Turner) Nyl., Notiser ur Sällskapets pro Fauna et Flora Fennica Förhandlingar 5: 179 (1861) [MB#399720]

<br />Pertusaria multipunctata (Turner) Nyl. (1861) [MB#122900]<br />Lichen multipunctus (Turner) Sm., English Botany: tab. 2061 (1809) [MB#394271]

<br />Variolaria multipuncta Turner, Transactions of the Linnaean Society of London 9: 137 (1806) [MB#408611]

"

オオカバイロヒトヨタケ,Parasola auricoma,サヤマカバイロヒトヨタケ,"Parasola auricoma (Pat.) Redhead, Vilgalys & Hopple",ナヨタケ科,ヒメヒガサヒトヨタケ属,Psathyrellaceae,Parasola,"Parasola auricoma (Pat.) Redhead, Vilgalys & Hopple, Taxon 50 (1): 235 (2001) [MB#474759]","Coprinus hansenii J.E. Lange, Dansk botanisk Arkiv 2 (3): 48 (1915) [MB#169187]<br />Coprinus auricomus Pat., Tabulae Analyticae Fungorum 1 (5): 200, t. 453 (1886) [MB#227551]

"

オオカボチャタケ,Hapalopilus croceus,,Hapalopilus croceus (Pers.) Donk,シワタケ科,アカゾメタケ属,Meruliaceae,Hapalopilus,"Hapalopilus croceus (Pers.) Bondartsev & Singer, Annales Mycologici 39 (1): 52 (1941) [MB#445931]","Tyromyces croceus (Pers.) J. Lowe, Mycotaxon 2 (1): 21 (1975) [MB#325202]

<br />Aurantiporus croceus (Pers.) Murrill, Mycologia 12 (1): 11 (1920) [MB#262353]

<br />Polystictus croceus (Pers.) Bigeard & H. Guill., La Flore des Champignons supérieurs de France ed. 2: 366 (1913) [MB#470979]

<br />Polyporus subtestaceus Bres., Annales Mycologici 3 (2): 162 (1905) [MB#229643]<br />Polyporus castanophilus G.F. Atk., Journal of Mycology 8: 118 (1902) [MB#183580]

<br />Phaeolus croceus (Pers.) Pat., Essai taxonomique sur les familles et les genres des Hyménomycètes: 86 (1900) [MB#470431]

<br />Ochroporus croceus (Pers.) J. Schröt., Kryptogamen-Flora von Schlesien 3-1(4): 483 (1888) [MB#495016]

<br />Inonotus croceus (Pers.) P. Karst., Bidrag till Kännedom av Finlands Natur och Folk 37: 71 (1882) [MB#469591]

<br />Inonotus hypococcinus (Berk.) P. Karst. (1879) [MB#266860]

<br />Polyporus hypococcineus Berk., London Journal of Botany 6: 319 (1847) [MB#154714]

<br />Polyporus hypococcinus Berk., London Journal of Botany 6: 319 (1847) [MB#499714]

<br />Polyporus pilotae Schwein., Transactions of the American Philosophical Society 4 (2): 156 (1832) [MB#202698]

<br />Polyporus croceus (Pers.) Fr., Observationes mycologicae 1: 124 (1815) [MB#199133]

<br />Boletus croceus Pers., Observationes mycologicae 1: 87 (1796) [MB#205271]

"

オオカムリゴケ,Pilophorus acicularis,,,,,,,Pilophorus acicularis (Ach.) Th. Fr.: 41 (1857) [MB#548222],"Pilophoron aciculare (Ach.) Nyl., Mémoires de la Société Impériale des Sciences Naturelles de Cherbourg 5: 96 (1857) [MB#400935]

<br />Pilophorus aciculare (Ach.) Th. Fr., Stereoc. Piloph. Comm.: 41 (1857) [MB#458386]

<br />Pilophorus f. acicularis (Ach.) Th. Fr.: 41 (1857) [MB#548223]<br />Stereocaulon aciculare (Ach.) Tuck., An Enumeration of North American Lichens with a preliminary view of the structure and general history of these plants, and of the Friesian system: 52 (1845) [MB#405920]

<br />Cladonia acicularis (Ach.) Fr. (1831) [MB#382741]

<br />Cenomyce acicularis (Ach.) Ach. (1810) [MB#382358]

<br />Baeomyces acicularis Ach. (1803) [MB#378570]

"

オオキイロイグチ,Buchwaldoboletus sphaerocephalus,マツノキイロイグチ,Buchwaldoboletus sphaerocephalus (Barla) Watling & T.H. Li,イグチ科,ブクワルドボレトゥス属,Boletaceae,Buchwaldoboletus,"Buchwaldoboletus sphaerocephalus (Barla) Watling & T.H. Li, Edinburgh Journal of Botany 61 (1): 46 (2004) [MB#463199]","Buchwaldoboletus hemichrysus f. sphaerocephalus (Barla) Estadès & Lannoy, Documents Mycologiques 31 (121): 59 (2001) [MB#484480]<br />Suillus sphaerocephalus (Barla) Kuntze: 536 (1898) [MB#586309]

<br />Viscipellis sphaerocephala (Barla) Quél.: 155 (1886) [MB#580012]

<br />Boletus sphaerocephalus Barla, Les Champignons de la Province de Nice: tab. 36 (1859) [MB#201154]

"

オオキカワタケ,Phanerochaete carnosa,,Phanerochaete carnosa (Burt) Parmasto ,マクカワタケ科,マクカワタケ属,Phanerochaetaceae,Phanerochaete,"Phanerochaete carnosa (Burt) Parmasto, Eesti NSV Teaduste Akadeemia Toimetised 16: 388 (1967) [MB#336228]","Leptochaete carnosa (Burt) Zmitr. & Spirin, Mycena 6: 39 (2006) [MB#504902]

<br />Grandiniella carnosa (Burt) Burds., Taxon 26: 329 (1977) [MB#314714]

<br />Membranicium carnosum (Burt) Y. Hayashi, Bulletin of the Government Forest Experimental Station Meguro 260: 70 (1974) [MB#317552]

<br />Peniophora carnosa Burt, Annals of the Missouri Botanical Garden 12 (3): 325 (1926) [MB#259911]

<br />Peniophora firma Burt, Annals of the Missouri Botanical Garden 12 (3): 276 (1926) [MB#264932]"

オオキゴケ,Stereocaulon sorediiferum,,,,,,,Stereocaulon sorediiferum Hue (1941) [MB#406045],

オオキツネタケ,Laccaria bicolor,,Laccaria bicolor (Marie) P. D. Orton,ヒドナンギウム科,キツネタケ属,Hydnangiaceae,Laccaria,"Laccaria bicolor (Maire) P.D. Orton, Transactions of the British Mycological Society 43 (2): 177 (1960) [MB#332790]","Laccaria laccata var. pseudobicolor Bon, Documents Mycologiques 12 (46): 42 (1982) [MB#117108]<br />Laccaria proxima var. bicolor (Maire) Kühner & Romagn., Flore Analytique des Champignons Supérieurs: 131 (1953) [MB#456881]

<br />Laccaria laccata var. bicolor Maire, Publicacions del Instituto Botánico Barcelona 3 (4): 84 (1937) [MB#268763]

"

オオキノボリイグチ,Boletellus mirabilis,,Boletellus mirabilis (Murr.) Sing.,イグチ科,キクバナイグチ属,Boletaceae,Boletellus,"Aureoboletus mirabilis (Murrill) Halling, Australian Systematic Botany 28: 19 (2015) [MB#811404]","Aureoboletus mirabilis (Murrill) Halling, Australian Systematic Botany 28: 19 (2015) [MB#811404]<br />Heimioporus mirabilis (Murrill) E. Horak, Sydowia 56: 240 (2004) [MB#368280]

<br />Xerocomus mirabilis (Murrill) Singer, Revue de Mycologie (Paris) 5: 6 (1940) [MB#292014]

<br />Ceriomyces mirabilis Murrill, Mycologia 4 (2): 98 (1912) [MB#150729]

<br />Boletus mirabilis (Murrill) Murrill, Mycologia 4 (2): 98 (1912) [MB#232990]

"

オオキヤマタケ,Hygrocybe obrussea,,Hygrocybe obrussea (Fr.) Wünsche,ヌメリガサ科,アカヤマタケ属,Hygrophoraceae,Hygrocybe,"Hygrocybe obrussea (Fr.) Wünsche, Die Pilze. Eine Anleitung zur Kenntniss derselben: 113 (1877) [MB#438469]","Pseudohygrocybe obrussea (Fr.) Kovalenko, Mikologiya i Fitopatologiya 22 (3): 208 (1988) [MB#133903]

<br />Godfrinia obrussea (Fr.) Herink, Sborník Severoceského Musea 1: 65 (1958) [MB#103404]

<br />Hygrophorus quietus Kühner, Ann. Scient. Franche-Comté: 19 (1947) [MB#287140]<br />Hygrophorus obrusseus (Fr.) Fr., Epicrisis Systematis Mycologici: 331 (1838) [MB#192282]

<br />Agaricus obrusseus Fr., Systema Mycologicum 1: 104 (1821) [MB#187216]

"

オオクロコブアザタケ,Annulohypoxylon discophorum,,"Hypoxylon macroannulatum S. Ito & S. Imai → Annulohypoxylon discophorum (Penz. & Sacc.) Y.M. Ju, J.D. Rogers & H.M. Hsieh",クロサイワイタケ科,アカコブタケ属,Xylariaceae,Hypoxylon,"Annulohypoxylon discophorum (Penz. & Sacc.) Y.M. Ju, J.D. Rogers & H.M. Hsieh, Mycologia 97 (4): 857 (2005) [MB#500305]","Hypoxylon discophorum Penz. & Sacc., Malpighia 11: 492 (1897) [MB#214337]"

オオクロニガイグチ,Tylopilus alboater,ニシネイグチ,Tylopilus alboater (Schwein.) Murrill,イグチ科,ニガイグチ属,Boletaceae,Tylopilus,"Tylopilus alboater (Schwein.) Murrill, Mycologia 1 (1): 16 (1909) [MB#100204]","Porphyrellus alboater (Schwein.) E.-J. Gilbert, Les Livres du Mycologue Tome I-IV, Tom. III: Les Bolets: 99 (1931) [MB#250555]<br />Suillus alboater (Schwein.) Kuntze: 535 (1898) [MB#586137]

<br />Boletus alboater Schwein., Schriften der Naturforschenden Gesellschaft zu Leipzig 1: 95 (1822) [MB#168982]

"

オオクロボシゴケ,Pyxine limbulata,,,,,,,"Pyxine limbulata Müll. Arg., Flora (Regensburg) 74 (1): 112 (1891) [MB#403600]",

オオゲジゲジゴケ,Heterodermia diademata,,,,,,,"Heterodermia diademata (Taylor) D.D. Awasthi, Geophytology 3 (1): 113 (1973) [MB#342147]","Anaptychia diademata (Taylor) Kurok., Beihefte zur Nova Hedwigia 6: 28 (1962) [MB#344616]<br />Parmelia diademata Taylor, London Journal of Botany 6: 165 (1847) [MB#397459]

"

オオコゲチャイグチ,Sutorius obscureumbrinus,コゲチャイグチ,Boletus obscureumbrinus Hongo,イグチ科,ヤマドリタケ属,Boletaceae,Boletus,"Neoboletus obscureumbrinus (Hongo) N.K. Zeng, H. Chai & Zhi Q. Liang, Mycokeys 46: 78 (2019) [MB#828529]","Neoboletus obscureumbrinus (Hongo) N.K. Zeng, H. Chai & Zhi Q. Liang, Mycokeys 46: 78 (2019) [MB#828529]<br />Boletus obscureumbrinus Hongo, Memoirs of Shiga University: 4 (1968) [MB#309736]

"

オオコゲボシゴケ,Megalospora tuberculosa,,,,,,,"Megalospora tuberculosa (Fée) Sipman, Bibliotheca Lichenologica 18: 156 (1983) [MB#124631]","Bombyliosporomyces tuberculosae Cif. & Tomas., Atti dell'Istituto Botanico della Università e Laboratorio Crittogamico di Pavia 10 (2): 266 (1954) [MB#364802]<br />Psorothecium tuberculosum (Fée) Stizenb., Bericht über die Tätigkeit der St. Gallischen Naturwissenschaftlichen Gesellschaft 1861-1862: 160 (1862) [MB#402832]

<br />Bacidia tuberculosa (Fée) Trevis., Spighe e Paglie: 7 (1853) [MB#378536]

<br />Bombyliospora tuberculosa (Fée) A. Massal., Ricerche sull'autonomia dei licheni crostosi: 116 (1852) [MB#380040]

<br />Heterothecium tuberculosum (Fée) Flot., Botanische Zeitung 8: 555 (1850) [MB#386894]

<br />Biatora tuberculosa (Fée) Mont., Annales des Sciences Naturelles Botanique 10: 126 (1848) [MB#379254]

<br />Patellaria tuberculosa (Fée) Spreng., Caroli Linnaei systema vegetabilium 4 (1): 264 (1827) [MB#324262]

<br />Lecidea tuberculosa Fée, Essai sur les cryptogames des écorces exotiques officinales: 107 (1825) [MB#392752]

"

オオコショウイグチ,Chalciporus piperatoides,,Chalciporus piperatoides （A.H.Smith & Thiers）Baroni & Both ,イグチ科,コショウイグチ属,Boletaceae,Chalciporus,"Chalciporus piperatoides (A.H. Sm. & Thiers) T.J. Baroni & Both, Mycologia 83 (5): 560 (1991) [MB#354600]","Boletus piperatoides A.H. Sm. & Thiers, The Boletes of Michigan: 301 (1971) [MB#309752]"

オオコブミノトマヤタケ,Inocybe magnicarpa,,Inocybe magnicarpa Takah. Kobay.,アセタケ科,アセタケ属,Inocybaceae,Inocybe,"Inocybe magnicarpa Takah. Kobay., Mycoscience 46 (3): 188 (2005) [MB#338349]",

オオゴムタケ,Trichaleurina tenuispora,,"Trichaleurina tenuispora M. Carbone, Yei Z. Wang & C.L. Huang",ピロネマキン科,トリカレウリナ属,Pyronemataceae,Trichaleurina,"Trichaleurina tenuispora M. Carbone, Yei Z. Wang & C.L. Huang, Ascomycete 5 (5): 149 (2013) [MB#804974]",

オオサクラシメジ,Hygrophorus erubescens,トキイロタケ,Hygrophorus erubescens (Fr.) Fr.,ヌメリガサ科,ヌメリガサ属,Hygrophoraceae,Hygrophorus,"Hygrophorus erubescens (Fr.) Fr., Epicrisis Systematis Mycologici: 322 (1838) [MB#164970]","Gymnopus carnosus (Curtis) Murrill, North American Flora 9 (5): 358 (1916) [MB#502476]<br />Limacium erubescens (Fr.) Wünsche, Die Pilze. Eine Anleitung zur Kenntniss derselben: 117 (1877) [MB#492996]

<br />Agaricus rubescens var. carnosus (Curtis) Pers., Mycologia Europaea 3: 104 (1828) [MB#498025]

<br />Agaricus erubescens Fr., Systema Mycologicum 1: 32 (1821) [MB#202303]

<br />Agaricus carnosus Curtis, Fl. londin. 5: 71, t. 315 (1787) [MB#490130]

"

オオササタケ,Cortinarius cinnamomeoides,,Cortinarius cinnamomeoides Hongo,フウセンタケ科,フウセンタケ属,Cortinariaceae,Cortinarius,Cortinarius cinnamomeoides Hongo (1965) [MB#329005],

オオサビイボゴケ,Brigantiaea nipponica,,,,,,,"Brigantiaea nipponica (M. Satô) Hafellner, The Lichenologist 15 (3): 265 (1983) [MB#107765]",Lopadium nipponicum M. Satô (1935) [MB#411154]

オオサビサルノコシカケ,Phellinus viticola,オオサビアナタケ,Phellinus viticola (Schwein.) Donk,タバコウロコタケ科,キコブタケ属,Hymenochaetaceae,Phellinus,"Phellinus viticola (Schwein.) Donk, Persoonia 4 (3): 342 (1966) [MB#336270]","Fomes viticola (Schwein.) J. Lowe, Technical Publication of the State University College of Forestry at Syracuse University 80: 45 (1957) [MB#297481]

<br />Phellinus isabellinum (Fr.) Bourdot & Galzin (1925) [MB#275367]<br />Trametes setosa Weir, Journal of Agricultural Research 2: 164 (1914) [MB#214482]

<br />Trametes setosus Weir (1914) [MB#123320]

<br />Fuscoporia viticola (Schwein.) Murrill, North American Flora 9 (1): 4 (1907) [MB#469295]

<br />Fomes tenuis P. Karst., Meddelanden af Societas pro Fauna et Flora Fennica 14: 81 (1887) [MB#143277]

<br />Poria viticola (Schwein.) Cooke, Grevillea 14 (72): 114 (1886) [MB#201038]

<br />Trametes isabellina Fr., Hymenomycetes europaei: 585 (1874) [MB#179607]

<br />Daedalea ravenelii Berk., Grevillea 1 (5): 68 (1872) [MB#246438]

<br />Polyporus viticola Schwein., Elenchus Fungorum 1: 115 (1828) [MB#452988]

<br />Boletus superficialis Schwein., Schriften der Naturforschenden Gesellschaft zu Leipzig 1: 99 (1822) [MB#468335]

"
